,disease,occurrences,symptoms
0,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0008031_pain  chest
1,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0392680_shortness  of breath
2,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0012833_dizziness
3,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0004093_asthenia
4,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0085639_fall
5,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0039070_syncope
6,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0042571_vertigo
7,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0038990_sweat^UMLS:C0700590_sweating  increased
8,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0030252_palpitation
9,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0027497_nausea
10,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0002962_angina  pectoris
11,UMLS:C0020538_hypertensive  disease,3363,UMLS:C0438716_pressure  chest
12,UMLS:C0011847_diabetes,1421,UMLS:C0032617_polyuria
13,UMLS:C0011847_diabetes,1421,UMLS:C0085602_polydypsia
14,UMLS:C0011847_diabetes,1421,UMLS:C0392680_shortness  of breath
15,UMLS:C0011847_diabetes,1421,UMLS:C0008031_pain  chest
16,UMLS:C0011847_diabetes,1421,UMLS:C0004093_asthenia
17,UMLS:C0011847_diabetes,1421,UMLS:C0027497_nausea
18,UMLS:C0011847_diabetes,1421,UMLS:C0085619_orthopnea
19,UMLS:C0011847_diabetes,1421,UMLS:C0034642_rale
20,UMLS:C0011847_diabetes,1421,UMLS:C0038990_sweat^UMLS:C0700590_sweating  increased
21,UMLS:C0011847_diabetes,1421,UMLS:C0241526_unresponsiveness
22,UMLS:C0011847_diabetes,1421,UMLS:C0856054_mental  status changes
23,UMLS:C0011847_diabetes,1421,UMLS:C0042571_vertigo
24,UMLS:C0011847_diabetes,1421,UMLS:C0042963_vomiting
25,UMLS:C0011847_diabetes,1421,UMLS:C0553668_labored breathing
26,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0424000_feeling  suicidal
27,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0438696_suicidal
28,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0233762_hallucinations  auditory
29,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0150041_feeling  hopeless
30,UMLS:C0011570_depression  mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0424109_weepiness
